name,descriptions,ratings,review_count
61. Los Angeles Aqueduct - The Cascades,“I have been by the Cascades on three occasions including this one.  I always wanted to stop and see it closer knowing the history of the building of the Los Angeles Aqueduct from the Owens Valley to Los Angeles.  This also contains water that comes across Southern California in the California…” more,4.5,8
62. Original In-N-Out Replica,"“This is American history at its finest!  This building is so small yet functional; similar to the photo-mats of the 70's.  It is really thrilling to have seen this replica of the original In and Out Burger in Baldwin Park.  I once heard Tom Hanks treated folks in line for a free meal at In and Out,…” more",5,9
63. Hanna Barbera Building,"“This very random roadside attraction is the perfect selfie station! Just outside Panda Express' Panda Restaurant Group headquarters, you'll find California's first Robert Indiana's Love Sculpture. There is plenty of parking.” more",5,1
64. Robert Indiana’s LOVE Sculpture,"“This is a very little know tour, I think I saw it on a list of botanical gardens in California, maybe Wikipedia.  It's an estate tour of the house and gardens of the late Virginia Robinson.  The tour was almost 2 hours and covered the house, tennis courts, pool, gardens, rose garden and tree forest.…” more",5,11
65. Virginia Robinson Gardens,"“For those wondering why this place is worth visiting while around Los Angeles, all you have to do is take a walk on the bridge and a subtle feeling of deja vu will slowly waft over your senses.
  This particular spot of scenery is one of the most often filmed sections of LA simply because it looks…” more",4.5,21
21. Capitol Records Tower,“Came for Selena's star and now it's mine ! Hahaha jk just the picture  ! It made my kids night though taking them on a tour of the walk of fame seeing one of their fav singers star” more,4.5,26
66. 1st Street Bridge,"“Ambassador Mansion and Gardens is an amazing wedding venue!!! I am partial since I got married here.

I rented the Mansion and Bridge/Pond for the ceremony. They no longer allow weddings at the mansion itself but you can have weddings still on the grounds.

I was happy that parking was included for…” more",5,6
67. Ambassador Mansions and Gardens,"“The name Rodeo Drive says it all. 
A street known for fashion and style honors the icons of style that made Rodeo what it is. 
Just walk and look and you will see Fred Hayman and many others in the sidewalks of Rodeo. 
Kind of like a Hollywood Boulevard in Beverly Hills. 
George Vreeland Hill” more",4,30
68. Latino Walk of Fame,"“I'm not gonna write big fat long essay about this place.  But I will tell you informations that no one ever seem to talk about. 

Parking: metro $3 or street 
Restroom: yes
Credit card: yes

Great coffee.  :) I normally hate going places if the business doesnt provide parking. The coffee is…” more",4.5,10
69. Rodeo Drive Walk of Style,"PhotographyArchitecture: 
The hangars at Marine Corps Air Station Tustin,
any Buddhist temples, the building where Gracie Barra Brazilian Jiu-Jitsu is located…",3.5,3
22. Schindler House,"“The staff is very friendly and inviting. The grounds are very well-kept. Fair prices. Roaming freely has got to be my favorite ""rule"" there. Bring your good cameras, just no tripods. Ohh and Concrete. Concrete. Concrete!! Thanks for keeping this gem alive MAK Center. 

Diego” more",3.5,20
23. Marilyn Monroe Home,"“A must-see for any fan of Marilyn Monroe. 
You won't get inside the gate, but you will visit the only home Marilyn owned and where she died. 
George Vreeland Hill” more",4.5,2
24. Beach Boys Landmark,"“In a nutshell, this landmark is a small homage to the legacy left behind by The Beach Boys!  I guess I never realized that this was so close to the homes I've lived in throughout the years!  My husband has told me, but it never occurred to me that I probably drove right by here many times!

This…” more",4,9
25. Venice Renaissance Building,"“The building is the Venice Renaissance Building.  It is a dual purposed building with businesses & condos.  On the front, at the corner of Main Street & Rose Avenue, there is this 30 foot tall Ballerina Clown or Clownerina affixed to it.  CVS is right underneath this public art.

When one thinks of…” more",5,2
26. Angel Walls,"“So fun taking photos here.
We were out bored and were definitely not planning on taking and photos
Ended up getting some cute candid shots! 
This art is beautiful!!” more",5,4
27. O’Neill House,“The sculpture is an elegant reminder of an Empire the West has chosen to ignore. It pays homage to Cyrus the Great. Arguably one of the most visionary leaders of all times and his human rights proclamation; the first of its kind.” more,5,1
28. The Freedom Sculpture,"“Worth the drive, i'm quite a fan of Phil's music, so there is some attachment there.

Can't see too much of course, with the trees, gates, etc. But quite a monstrosity. 

Worth the drive if you're headed west on the 10.” more",5,4
29. Pyrenees Castle,"“The Electric Fountain is a Beverly Hills treasure. 
So beautiful to see and is a part of Beverly Gardens Park. 
It's simply breathtaking at night and is a must for photos. 
This has to be a part of your Beverly Hills experience. 
George Vreeland Hill” more",4,16
30. Electric Fountain,"PhotographyArchitecture: 
The hangars at Marine Corps Air Station Tustin,
any Buddhist temples, the building where Gracie Barra Brazilian Jiu-Jitsu is located…",5,1
41. Los Encinos State Historic Park,"“Such a beautiful park. So much history as well. We have been coming here for the past couple of years, we had my son's 1st birthday here and we are constantly coming for events. 

It's a great place to come with family and relax. They have a couple picnic tables all around the park making perfect to…” more",4.5,43
1. The Bradbury Building,"“If you're into landmarks and historical buildings, you must take a look inside the Bradbury. It's a quick stop, so combine it with a meal at the Grand Central Market across the street, or perhaps a brisk walk up the hill” more",4.5,275
11. Coca-Cola Building,“ (https://www.yelp.com/biz/baxter-stairways-los-angeles?osq=Local+Flavor) Hollywood Sign (https://www.yelp.com/biz/hollywood-sign-los-angeles-4?osq=Landmarks+%26+Historical+Buildings) Hollywood Bowl Overlook (https://www.yelp.com” more,3.5,4
42. Campo de Cahuenga,"“I always wanted to visit Campo de Cahuenga, even if I live so close to it, I never got around it. One of the reasons is that's open only the 1st and 3rd Saturday a month between Noon to 4 pm.

Finnally, I had my chance during Luminaria, I took the self-guided tour and that was enjoyable and…” more",4,7
